1, 99.9, Dallin Pepper 
2, 99.9, Zach Mayer 
3, 99.8, Dylan Kade 
4, 99.8, Vincent Ramirez 
5, 99.7, Nick Tunzi 
6, 99.7, Ron Zur 
7, 99.6, Caleb Goodman 
8, 99.6, Benjamin Gutierrez 
9, 99.5, Nathan Clifton 
10, 99.5, Gabi Castro 
11, 99.4, Alejandro Arrazola 
12, 99.4, Logan Ewing 
13, 99.3, Noah Casey 
14, 99.3, Lucas Pusch 
15, 99.2, Samuel Sanchez 
16, 99.2, Evan Haines 
17, 99.1, Ethan Elwell 
18, 99.1, Jake Carlile 
19, 99.0, Tyler Anderson 
20, 99.0, Hunter Wilks 
21, 98.9, Niccol\u00f2 Colli 
22, 98.9, Manuel Dob\u00f3n 
23, 98.8, James Sprague 
24, 98.8, Cc Winnertz 
25, 98.7, Tadhg Lawless 
26, 98.7, Sammy Jess 
27, 98.6, Luis Cacacho 
28, 98.6, Ryan Grimsland 
29, 98.5, Jacob Morris 
30, 98.5, Donovan Murray 
31, 98.4, Gerardo Torres 
32, 98.3, Andrew Madrid 
33, 98.3, Omar Barghouthi 
34, 98.2, Reece Mitchell 
35, 98.2, Sam Wiseman 
36, 98.1, Jeff Charbonneau 
37, 98.1, Greg Hammond 
38, 98.0, Connor Sloboda 
39, 98.0, Kacper Branny 
40, 97.9, Jack Miller 
41, 97.9, Aleksander B\u0142oszyk 
42, 97.8, Alonso Ruiz Sandoval
43, 97.8, Kevin Castell\u00f3n 
44, 97.7, Jari Zegers 
45, 97.7, Jack Farlow 
46, 97.6, Jaxson Coull 
47, 97.6, Tyler Hickey 
48, 97.5, Nadav Peled 
49, 97.5, Kaid Register 
50, 97.4, Alexander Shaw 
51, 97.4, Davi Cruz 
52, 97.3, Daniel Ulloa 
53, 97.3, Thiago Barbosa Lopes
54, 97.2, Liam Pike 
55, 97.2, Nicol\u00e1s Due\u00f1as 
56, 97.1, Hanson Church 
57, 97.1, Joaquin Amarilla 
58, 97.0, Lewis Godden 
59, 97.0, Emil J\u00f8rgensen 
60, 96.9, Jake Haagman 
61, 96.9, Daniel Jenson 
62, 96.8, Kaison Uehara 
63, 96.7, Anthony Keaton 
64, 96.7, Verdy Hugo 
65, 96.6, Noah Loviat 
66, 96.6, Santiago Montenegro 
67, 96.5, Alex Badaracco 
68, 96.5, Ben Fowler 
69, 96.4, Carlos Arturo Tene
70, 96.4, Javier Arencibia 
71, 96.3, Aiden Kuelling 
72, 96.3, Michael Smith 
73, 96.2, Esteban Ospina 
74, 96.2, Andr\u00e9s Sim\u00f3n Estrada
75, 96.1, Vince Williams 
76, 96.1, Simon Pierre 
77, 96.0, Jung-il Lalonde 
78, 96.0, Daniel Sterling 
79, 95.9, Austin Gibbs 
80, 95.9, Alex Lara 
81, 95.8, Cameron Walker 
82, 95.8, Michael Ure 
83, 95.7, Carlos Goto 
84, 95.7, Cohen Smith 
85, 95.6, Patricio Sandoval 
86, 95.6, Kenneth Shannon 
87, 95.5, Caton Dooner 
88, 95.5, Daniel Goulet 
89, 95.4, Jake Statom 
90, 95.4, Tomas Sarmiento 
91, 95.3, Victor Delgado 
92, 95.3, Isaac Quigley 
93, 95.2, Szymon Urba\u0144ski 
94, 95.1, Santiago Cantero 
95, 95.1, Anthony Mosher 
96, 95.0, Cameron Causey 
97, 95.0, Jean-baptiste Millet 
98, 94.9, Adrien Mercier 
99, 94.9, Gavin Charvat 
100, 94.8, Isaac Hobson 
101, 94.8, Christopher McGivney 
102, 94.7, Sam Wey 
103, 94.7, Victor Guimaraes 
104, 94.6, Julio Emmanuel Lugo
105, 94.6, Julius Aron Ellertsson
106, 94.5, Roy Gutman 
107, 94.5, Adrian Lopez 
108, 94.4, \u00d6mer Aksoy 
109, 94.4, Vian Gericke 
110, 94.3, Stephen Mischewski 
111, 94.3, Dominic Ferrara 
112, 94.2, Nello Cupini 
113, 94.2, Jack Seward 
114, 94.1, Cilas Emanuel Ferreira
115, 94.1, Riley Martin 
116, 94.0, Kyle Edwards 
117, 94.0, Sidney Gadzinski 
118, 93.9, Matthew Ritzlmayr 
119, 93.9, Colin Sargeant 
120, 93.8, Mart\u00edn Rodriguez 
121, 93.8, Luiz Chaves 
122, 93.7, Kolby Green 
123, 93.6, Yan Samarsky 
124, 93.6, Lucas Silva 
125, 93.5, Lucas Moro 
126, 93.5, Yoav Bitan 
127, 93.4, Leonardo Mateus 
128, 93.4, Ali Bekheet 
129, 93.3, Jakub Petr\u00edk 
130, 93.3, Andrew Lane 
131, 93.2, Cris Bonilla 
